,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2743,Equinix,usa, VA, Ashburn,44790 Performance Circle,182800.0,57803.0,,37.1232245,-78.4927721
2744,Equinix,colombia, Bogota, Carrera 7,Bogotà D.C.,39568.0,21570.0,1.15,4.6533816,-74.0836333
2745,Equinix,spain, Terrassa, 8038,Avinguda de Barcelona,32087.0,16016.0,,41.5629623,2.0100492
2746,Digital Realty,usa, WA 98121, Seattle, 2001 6th Avenue,400400.0,400400.0,,,
2747,CyrusOne,usa, KY 41042, Florence,7200 Industrial Road,140000.0,55000.0,4.0,,
2748,SIfy Technologies Limited,india, Maharashtra 400703, Navi Mumbai, Vashi,20000.0,11246.0,1.2,21.5071955,78.9725097
2749,Equinix,france, Aubervilliers,45 Avenue Victor Hugo,,12486.0,12486.0,,48.9146078,2.3821895
2750,Digital Realty,usa, GA, Atlanta,250 Williams Street Northwest,18000.0,18000.0,1.6,32.3293809,-83.1137366
2751,H5 Data Centers,usa, CO, Greenwood Village,5350 South Valentia Way,300000.0,65000.0,17.0,38.7251776,-105.607716
2752,HostDime,usa, FL, Eatonville,980 Wymore Road,100000.0,,,27.7567667,-81.4639835
2753,Digital Realty,france, 13015 Marseille,136 Chemin du Littoral,,47000.0,,12.0,43.35590858423913,5.357136729891304
2755,Aligned Data Centers,usa, OR, Hillsboro,NE 30th Ave & Northeast Evergreen Road,,,72.0,43.9792797,-120.737257
2756,Digital Realty,usa, TX, Lewisville,2501 Texas 121,831372.0,,2.4,31.2638905,-98.5456116
2757,Digital Realty,usa, VA, Ashburn,44461 Chilum Place,222260.0,130412.0,54.0,37.1232245,-78.4927721
2758,Flexential,usa, FL 33634, Tampa,9417 Corporate Lake Dr,31600.0,8000.0,1.81,46.441062,-87.916286
2759,Equinix,india, Maharashtra 400072, Mumbai, Andheri East,32529.0,,,21.5071955,78.9725097
2760,Comarch ICT,france, Lille,17 Rue Paul Kimpe,,3767.0,,2.0,50.6365654,3.0635282
2761,uNetworks,germany, Stuttgart,Zettachring 10,,,7223.0,,48.7784485,9.1800132
2762,STACK INFRASTRUCTURE,norway, 1900 Fetsund,Heiaveien 9,,51666.77,,8.0,59.9274398,11.1620196
2763,ByteGrid,usa, MD 20904, Silver Spring,12401 Prosperity Dr,214000.0,,,,
2764,Redcentric,uk, Reading RG2 0TG,3-5 Worton Drive,,,15000.0,3.0,51.4564242,-0.9700664
2765,Segra,usa, NC, Kannapolis,465 Charles Babbage Lane,50000.0,15216.0,2.5,35.6729639,-79.0392919
2766,Oracle,south korea,Seoul,,,,,,37.5666791,126.9782914
2767,Netwise,uk, London,Coriander Avenue,,100000.0,,0.5,51.5074456,-0.1277653
2769,uNetworks,germany, Rostock,Lessingstraße 26,,,7201.0,,54.0886707,12.1400211
2771,Redcentric,uk, Crawley,17-19 Kelvin Lane,,,10000.0,3.0,51.1103444,-0.1801094
2772,INOC Data Centers,usa, NY, Albany,80 State Street,4000.0,,0.4,43.1561681,-75.8449946
2773,Eurofiber Cloud Infra,netherlands, 4651 SL Steenbergen, Drukkerij 6,Reinierpolder 2,35521.0,23681.0,,51.58732832142857,4.306264771428571
2774,Global Switch,france, Clichy,7 - 9 Rue Petit,,179790.0,,,48.9026,2.30551
2775,EXA Infrastructure,usa, NY 10013, New York, Hudson Street,4994.45,,0.5,,
2776,ASPNet Taiwan Inc,taiwan,Kaohsiung City,,,,21528.0,2.0,22.6116182,120.30015899279826
2777,"oonami, LLC",usa, UT, Orem,510 Technology Ave,,,,39.4225192,-111.714358
2778,ASPNet Taiwan Inc,taiwan, New Taipei City, Xizhi District, Xintaiwu Road,,,,25.09741515,121.51497145968716
2779,MetaEdge,india, Maharashtra,Pune,,,,4.0,18.9068356,75.6741579
2780,NOVEX Colocation,canada, Ontario L4B 2N9, Richmond Hill,30 Sims Crescent,,,,,
2781,uNetworks,germany, Karlsruhe,Albert-Nestler-Straße 7,,,4446.0,,49.0068705,8.4034195
2782,Pulsant,uk, Edinburgh, Bankhead Medway,Bankhead Medway,33702.0,15597.0,1.6,55.9533456,-3.1883749
2783,Pulsant,uk, Newcastle upon Tyne NE1 6PN, Stepney Lane,Bridge View,5996.0,4994.0,1.6,54.9738474,-1.6131572
2784,OVHCloud,canada, QC J6N 0C2, Beauharnois,50 Rue de l'Aluminerie,,,,,
2785,Carrier Colo,germany, 12277 Berlin,Kitzingstraße 15,,6674.0,,0.002,52.41654611160883,13.373154109810725
2786,LeaseWeb,canada, Québec H3E 1Z6, Verdun, Montréal,44000.0,,,-34.2780975,-70.8252362
2787,Watch Communications,usa, OH 45805, Lima,3225 West Elm Street,,,,21.3581212,-157.73774411869255
2789,OVHCloud,france, Strasbourg,9 Rue du Bassin de l'Industrie 6700,,,,,48.584614,7.7507127
2790,Epsilon Telecommunications,usa, NY, New York, Hudson Street,,,,43.1561681,-75.8449946
2791,EvoSwitch,usa, VA, Manassas, 11680 Hayden Road,165000.0,,10.5,37.1232245,-78.4927721
2792,MDC Data Centers,usa, TX 78852, Eagle Pass,464 Bliss St,5208.0,1500.0,0.5,,
2793,EdgeConnex,canada, ON M2H 3B4, North York,565 Gordon Baker Rd,38900.0,,1.1,51.1384082,-117.8731057
2794,WowRack,usa, VA, Manassas,9651 Hornbaker Road,200000.0,100000.0,50.0,37.1232245,-78.4927721
2795,EdgeConnex,usa, PA 15220, Pittsburgh,282 Corliss Street,14174.0,,1.0,,
2796,Data Foundry,usa, Texas 78744, Austin,4100 Smith School Rd,,,,,
2798,omart,uk, London,Brent Cross,,17222.0,,0.6,51.5074456,-0.1277653
2799,STACK INFRASTRUCTURE,canada, ON,Toronto,,158000.0,,8.0,50.000678,-86.000977
2800,Lumen,usa, AZ, Tucson,135 North 6th Avenue,5000.0,1980.0,,34.395342,-111.763275
2801,Dynascale,usa, CA, Los Angeles,1200 West 7th Street,375000.0,282000.0,22.5,36.7014631,-118.755997
2802,CyrusOne,usa, NY, Wappingers Falls,155 Myers Corners Rd,100000.0,37000.0,10.0,43.1561681,-75.8449946
2804,Equinix,usa, FL, Miami,36 Northeast 2nd Street,17545.0,10942.0,0.3,27.7567667,-81.4639835
2805,Hivelocity,netherlands, 2031 BE Haarlem,J.W. Lucasweg,,,,,52.39111933076923,4.6645012
2806,Digital Realty,uk, Redhill,3 St. Annes Dr,,95798.8,,14.0,51.2404691,-0.1682816
2807,Equinix,uk, Manchester, Swinton, Pendlebury,,,,53.4794892,-2.2451148
2808,Colocation America,usa, CA, Los Angeles, 707 Wilshire Boulevard,,,,36.7014631,-118.755997
2809,OneNeck IT Solutions,usa, OR 97701, Bend,20845 Sockeye Pl,30000.0,,,,
2810,DataBank,usa, AZ, Phoenix,615 North 48th Street,,1650.0,0.2,34.395342,-111.763275
2811,QuadraNet,usa, TX, Dallas,3004 Irving Blvd,68000.0,,,31.2638905,-98.5456116
2812,atNorth,finland, Espoo,Kutojantie,,,12900.0,1.6,60.2047672,24.6568435
